start_time,end_time,sleep_stage
23:40,23:54,Light
23:54,00:34,Deep
00:34,00:52,Light
00:52,01:03,Deep
01:03,01:06,Awake
01:06,01:14,Light
01:14,01:24,REM
01:24,01:44,Light
01:44,02:11,Deep
02:11,02:14,Awake
02:14,02:24,Light
02:24,02:50,Deep
02:50,03:13,Light
03:13,03:14,Awake
03:14,03:59,Light
03:59,04:03,Awake
04:03,04:04,Light
04:04,04:16,REM
04:16,04:47,Light
04:47,05:01,REM
05:01,05:08,Light
05:08,05:09,Awake
05:09,05:22,Light
05:22,05:39,REM
05:39,06:01,Light
06:01,06:14,REM
06:14,06:23,Light
06:23,06:32,Awake
06:32,07:03,Light
